machine_no,hostname,ip_address,mac_address,model_name,status,備考
1,CAMERA-001-0001,,吉宗(ピンク),active,
2,CAMERA-001-0002,,,番長,active,
3,CAMERA-001-0003,,,吉宗(ピンク),active,
4,CAMERA-001-0004,,,番長,active,
5,CAMERA-001-0005,,,吉宗(ピンク),active,
6,CAMERA-001-0006,,,番長,active,
7,CAMERA-001-0007,,,吉宗(ピンク),active,
8,CAMERA-001-0008,,,カイジ,active,
9,CAMERA-001-0009,,,カイジ,active,
10,CAMERA-001-0010,,,吉宗(ピンク),active,
11,CAMERA-001-0011,,,吉宗(青),active,
12,CAMERA-001-0012,,,吉宗(青),active,
13,CAMERA-001-0013,,,南国物語,active,
14,CAMERA-001-0014,,,南国物語,active,
15,CAMERA-001-0015,,,南国物語,active,
16,CAMERA-001-0016,,,ミリオンゴッド,active,
18,CAMERA-001-0018,,,ミリオンゴッド,active,
20,CAMERA-001-0020,,,ミリオンゴッド,active,
23,CAMERA-001-0023,,,北斗の拳,active,※リール無
24,CAMERA-001-0024,,,北斗の拳,active,
26,CAMERA-001-0026,,,北斗の拳,active,
29,CAMERA-001-0029,,,ジャグラー,active,
30,CAMERA-001-0030,,,ジャグラー,active,
33,CAMERA-001-0033,,,ジャグラー,active,
37,CAMERA-001-0037,,,ファイヤードリフト,active,
38,CAMERA-001-0038,,,鬼武者,active,
40,CAMERA-001-0040,,,ビンゴ,active,
41,CAMERA-001-0041,,,北斗の拳,active,
43,CAMERA-001-0043,,,北斗の拳,active,
49,CAMERA-001-0049,,,北斗の拳,active,
50,CAMERA-001-0050,,,北斗の拳,active,
51,CAMERA-001-0051,,,銭形,active,
53,CAMERA-001-0053,,,銭形,active,
54,CAMERA-001-0054,,,ファイヤードリフト,active,
55,CAMERA-001-0055,,,鬼武者,active,
57,CAMERA-001-0057,,,ビンゴ,active,
58,CAMERA-001-0058,,,秘宝伝,active,
59,CAMERA-001-0059,,,秘宝伝,active,
60,CAMERA-001-0060,,,番長,active,
64,CAMERA-001-0064,,,島唄,active,
67,CAMERA-001-0067,,,島唄,active,
68,CAMERA-001-0068,,,秘宝伝,active,
